# RV data for HD75732
#************************************************************************
#      obnm      UT date             jd    mnvel   errvel   mdchi      cts
#************************************************************************
  rj86.374   2010/03/06   15261.916511     1.87     0.97   1.050    50737
  rj86.375   2010/03/06   15261.917344     2.95     0.94   1.072    52859
  rj86.376   2010/03/06   15261.918108    -0.70     1.05   1.058    49252
  rj86.377   2010/03/06   15261.918872     1.38     0.98   1.080    52362
  rj86.378   2010/03/06   15261.919613     1.96     0.94   1.094    51342
   rj87.96   2010/03/29   15284.863241    46.69     1.18   1.056    25878
   rj87.97   2010/03/29   15284.864016    44.63     1.18   1.054    25872
   rj87.98   2010/03/29   15284.864687    42.79     1.13   1.059    25527
  rj87.379   2010/03/30   15285.914864    62.73     0.93   1.083    51878
  rj87.380   2010/03/30   15285.915732    63.80     0.86   1.082    51750
  rj87.381   2010/03/30   15285.916565    63.71     0.98   1.093    50222
   rj88.67   2010/04/03   15289.722462    24.81     0.93   1.292    49935
   rj88.68   2010/04/03   15289.723156    24.27     0.93   1.314    51257
   rj88.69   2010/04/03   15289.723839    19.74     0.88   1.285    51546
   rj88.79   2010/04/03   15289.734428    27.03     0.92   1.285    50934
   rj88.80   2010/04/03   15289.735123    28.21     1.02   1.344    55361
   rj88.81   2010/04/03   15289.735817    24.18     0.95   1.339    51905
   rj88.86   2010/04/03   15289.749404    21.64     0.99   1.223    51148
   rj88.87   2010/04/03   15289.750121    22.08     0.89   1.224    52635
   rj88.88   2010/04/03   15289.750839    21.75     0.91   1.172    51196
   rj88.91   2010/04/03   15289.784586    21.64     0.98   1.232    49926
   rj88.92   2010/04/03   15289.785327    20.48     0.87   1.185    52361
   rj88.93   2010/04/03   15289.786044    18.18     0.94   1.217    50335
  rj88.102   2010/04/03   15289.810035    16.96     0.92   1.219    53128
  rj88.103   2010/04/03   15289.810741    23.61     1.00   1.247    49578
  rj88.104   2010/04/03   15289.811447    19.84     0.88   1.216    52442
  rj88.115   2010/04/03   15289.844303    15.83     0.82   1.196    51911
  rj88.116   2010/04/03   15289.845067    18.11     0.87   1.182    49381
  rj88.117   2010/04/03   15289.845842    17.74     0.80   1.177    49746
  rj88.124   2010/04/03   15289.863514    19.98     0.85   1.178    50406
  rj88.125   2010/04/03   15289.864382    18.51     0.76   1.126    50070
  rj88.126   2010/04/03   15289.865308    17.80     0.89   1.150    49710
  rj88.131   2010/04/03   15289.888825    15.16     0.85   1.144    50595
  rj88.132   2010/04/03   15289.889519    18.85     0.86   1.138    49454
  rj88.133   2010/04/03   15289.890225    18.47     0.86   1.147    50740
  rj88.140   2010/04/03   15289.913244    18.40     0.88   1.145    49078
  rj88.141   2010/04/03   15289.913996    15.02     0.86   1.141    48702
  rj88.142   2010/04/03   15289.914748    18.63     0.82   1.156    50376
  rj88.147   2010/04/03   15289.931101    15.96     0.86   1.114    51831
  rj88.148   2010/04/03   15289.931853    16.23     0.96   1.095    49221
  rj88.149   2010/04/03   15289.932629    12.99     0.98   1.103    49933
  rj88.156   2010/04/03   15289.948484    16.24     1.09   1.090    49221
  rj88.157   2010/04/03   15289.949606    12.70     1.04   1.096    50215
  rj88.158   2010/04/03   15289.950740    16.11     1.07   1.080    50790
   rj89.82   2010/04/25   15311.740502   -12.44     0.96   1.116    48979
   rj89.83   2010/04/25   15311.741717   -12.71     0.99   1.141    51820
   rj89.84   2010/04/25   15311.742447   -11.47     1.04   1.130    49517
  rj89.320   2010/04/26   15312.825571    20.61     0.90   1.153    49456
  rj89.321   2010/04/26   15312.826288    24.23     0.92   1.139    50179
  rj89.322   2010/04/26   15312.826994    24.35     0.96   1.150    51468
  rj89.592   2010/04/27   15313.743942    50.98     0.91   1.207    51085
  rj89.593   2010/04/27   15313.744625    52.27     0.96   1.216    50271
  rj89.594   2010/04/27   15313.745331    50.08     0.87   1.227    50097
  rj89.915   2010/04/28   15314.805170    58.96     1.07   1.080    50095
  rj89.916   2010/04/28   15314.806073    57.61     1.05   1.097    49954
  rj89.917   2010/04/28   15314.806976    56.98     1.03   1.089    49596
  rj90.682   2010/05/04   15320.743600   -36.58     0.96   1.132    49782
  rj90.683   2010/05/04   15320.744329   -35.87     0.95   1.145    50295
  rj90.684   2010/05/04   15320.745012   -37.50     1.03   1.121    49930
  rj90.975   2010/05/05   15321.732891   -49.11     0.99   1.163    49731
  rj90.976   2010/05/05   15321.733643   -51.08     0.94   1.168    48891
  rj90.977   2010/05/05   15321.734534   -46.07     0.99   1.194    51615
   rj91.72   2010/05/26   15342.740893    38.40     0.94   1.098    48351
   rj91.73   2010/05/26   15342.741668    37.92     0.88   1.091    48449
